Episode no = 460; won: False; Q(s,a) = nan; reward = -507.0; and epsilon = 0.9386666666666666, win percentage = 0.0, 2023-04-13 01:27:52
Episode no = 470; won: False; Q(s,a) = -4.8561449997915425; reward = -510.0; and epsilon = 0.9373333333333334, win percentage = 0.0, 2023-04-13 01:27:52
Episode no = 480; won: False; Q(s,a) = -4.967511923397524; reward = -505.0; and epsilon = 0.9359999999999999, win percentage = 0.0, 2023-04-13 01:27:53
Episode no = 490; won: False; Q(s,a) = -4.638676687861573; reward = -521.0; and epsilon = 0.9346666666666666, win percentage = 0.0, 2023-04-13 01:27:53
Episode no = 500; won: False; Q(s,a) = nan; reward = -510.0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2023-04-13 01:27:54
Episode no = 510; won: True; Q(s,a) = -5.531193178370581; reward = 90.0; and epsilon = 0.9319999999999999, win percentage = 0.1, 2023-04-13 01:27:54
Episode no = 520; won: False; Q(s,a) = -5.231645632059494; reward = -507.0; and epsilon = 0.9306666666666666, win percentage = 0.0, 2023-04-13 01:27:55
Episode no = 530; won: False; Q(s,a) = -5.291938859690717; reward = -511.0; and epsilon = 0.9293333333333333, win percentage = 0.0, 2023-04-13 01:27:55
Episode no = 540; won: False; Q(s,a) = nan; reward = -508.0; and epsilon = 0.928, win percentage = 0.0, 2023-04-13 01:27:56
Episode no = 550; won: False; Q(s,a) = nan; reward = -508.0; and epsilon = 0.9266666666666666, win percentage = 0.0, 2023-04-13 01:27:56
Episode no = 560; won: False; Q(s,a) = -6.252885892031692; reward = -512.0; and epsilon = 0.9253333333333333, win percentage = 0.0, 2023-04-13 01:27:57
Episode no = 570; won: False; Q(s,a) = nan; reward = -504.0; and epsilon = 0.924, win percentage = 0.0, 2023-04-13 01:27:57
Episode no = 580; won: False; Q(s,a) = nan; reward = -505.0; and epsilon = 0.9226666666666666, win percentage = 0.0, 2023-04-13 01:27:58
Episode no = 590; won: False; Q(s,a) = -5.9125382999264975; reward = -508.0; and epsilon = 0.9213333333333333, win percentage = 0.0, 2023-04-13 01:27:58
Episode no = 600; won: False; Q(s,a) = -6.238007566843184; reward = -508.0; and epsilon = 0.92, win percentage = 0.0, 2023-04-13 01:27:59
Episode no = 610; won: False; Q(s,a) = nan; reward = -512.0; and epsilon = 0.9186666666666666, win percentage = 0.0, 2023-04-13 01:27:59
Episode no = 620; won: False; Q(s,a) = nan; reward = -507.0; and epsilon = 0.9173333333333333, win percentage = 0.0, 2023-04-13 01:28:00
Episode no = 630; won: False; Q(s,a) = -7.820487932453962; reward = -509.0; and epsilon = 0.916, win percentage = 0.0, 2023-04-13 01:28:00
Episode no = 640; won: False; Q(s,a) = -6.275401024212243; reward = -507.0; and epsilon = 0.9146666666666666, win percentage = 0.0, 2023-04-13 01:28:01
Episode no = 650; won: False; Q(s,a) = -6.707014900905861; reward = -513.0; and epsilon = 0.9133333333333333, win percentage = 0.0, 2023-04-13 01:28:01
Episode no = 660; won: False; Q(s,a) = -6.602834269435187; reward = -508.0; and epsilon = 0.912, win percentage = 0.0, 2023-04-13 01:28:01
Episode no = 670; won: False; Q(s,a) = nan; reward = -507.0; and epsilon = 0.9106666666666666, win percentage = 0.0, 2023-04-13 01:28:02
