Episode no = 1140; won: False; Q(s,a) = 85.62295910025325; reward = -445.0; and epsilon = 0.848, win percentage = 0.0, 2023-04-20 15:03:51
Episode no = 1150; won: False; Q(s,a) = 80.68701961053823; reward = -354.0; and epsilon = 0.8466666666666667, win percentage = 0.0, 2023-04-20 15:03:59
Episode no = 1160; won: False; Q(s,a) = 85.62152958488036; reward = -341.0; and epsilon = 0.8453333333333333, win percentage = 0.0, 2023-04-20 15:04:06
Episode no = 1170; won: False; Q(s,a) = 83.87435778810169; reward = -396.0; and epsilon = 0.844, win percentage = 0.0, 2023-04-20 15:04:12
Episode no = 1180; won: False; Q(s,a) = 87.5998480446708; reward = -455.0; and epsilon = 0.8426666666666667, win percentage = 0.0, 2023-04-20 15:04:18
Episode no = 1190; won: False; Q(s,a) = 68.9655313823977; reward = -489.0; and epsilon = 0.8413333333333333, win percentage = 0.0, 2023-04-20 15:04:22
Episode no = 1200; won: False; Q(s,a) = 69.9221524991531; reward = -468.0; and epsilon = 0.84, win percentage = 0.0, 2023-04-20 15:04:28
Episode no = 1210; won: False; Q(s,a) = 88.56775862691944; reward = -461.0; and epsilon = 0.8386666666666667, win percentage = 0.0, 2023-04-20 15:04:33
Episode no = 1220; won: False; Q(s,a) = 90.66258544189952; reward = -475.0; and epsilon = 0.8373333333333334, win percentage = 0.0, 2023-04-20 15:04:38
Episode no = 1230; won: False; Q(s,a) = 88.62963881017586; reward = -468.0; and epsilon = 0.836, win percentage = 0.0, 2023-04-20 15:04:45
Episode no = 1240; won: False; Q(s,a) = 101.91405253949189; reward = -451.0; and epsilon = 0.8346666666666667, win percentage = 0.0, 2023-04-20 15:04:53
Episode no = 1250; won: False; Q(s,a) = 92.7311728610613; reward = -276.0; and epsilon = 0.8333333333333334, win percentage = 0.0, 2023-04-20 15:04:57
Episode no = 1260; won: False; Q(s,a) = 90.01025328775611; reward = -345.0; and epsilon = 0.832, win percentage = 0.0, 2023-04-20 15:05:07
Episode no = 1270; won: False; Q(s,a) = 86.79482301711673; reward = -295.0; and epsilon = 0.8306666666666667, win percentage = 0.0, 2023-04-20 15:05:14
Episode no = 1280; won: False; Q(s,a) = 91.57610531696368; reward = -464.0; and epsilon = 0.8293333333333334, win percentage = 0.0, 2023-04-20 15:05:20
Episode no = 1290; won: False; Q(s,a) = 89.0841933262382; reward = -335.0; and epsilon = 0.8280000000000001, win percentage = 0.0, 2023-04-20 15:05:28
Episode no = 1300; won: False; Q(s,a) = 89.1837490915646; reward = -295.0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2023-04-20 15:05:36
Episode no = 1310; won: False; Q(s,a) = 94.5449729072475; reward = -391.0; and epsilon = 0.8253333333333334, win percentage = 0.0, 2023-04-20 15:05:44
Episode no = 1320; won: False; Q(s,a) = 96.99027019485563; reward = -430.0; and epsilon = 0.8240000000000001, win percentage = 0.0, 2023-04-20 15:05:48
Episode no = 1330; won: False; Q(s,a) = 96.59391197950745; reward = -381.0; and epsilon = 0.8226666666666667, win percentage = 0.0, 2023-04-20 15:05:53
Episode no = 1340; won: False; Q(s,a) = 94.00845326743172; reward = -323.0; and epsilon = 0.8213333333333334, win percentage = 0.0, 2023-04-20 15:06:03
Episode no = 1350; won: False; Q(s,a) = 105.74053210847326; reward = -348.0; and epsilon = 0.8200000000000001, win percentage = 0.0, 2023-04-20 15:06:09
Episode no = 1360; won: False; Q(s,a) = 95.39151626363576; reward = -374.0; and epsilon = 0.8186666666666667, win percentage = 0.0, 2023-04-20 15:06:15
Episode no = 1370; won: False; Q(s,a) = 97.10941664913263; reward = -468.0; and epsilon = 0.8173333333333334, win percentage = 0.0, 2023-04-20 15:06:19
Episode no = 1380; won: False; Q(s,a) = 92.87346131037013; reward = -479.0; and epsilon = 0.8160000000000001, win percentage = 0.0, 2023-04-20 15:06:26
Episode no = 1390; won: False; Q(s,a) = 91.8788801709952; reward = -381.0; and epsilon = 0.8146666666666667, win percentage = 0.0, 2023-04-20 15:06:31
Episode no = 1400; won: False; Q(s,a) = 83.44073058312358; reward = -460.0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2023-04-20 15:06:38
Episode no = 1410; won: False; Q(s,a) = 102.12159400861246; reward = -361.0; and epsilon = 0.812, win percentage = 0.0, 2023-04-20 15:06:46
Episode no = 1420; won: False; Q(s,a) = 102.77317182748473; reward = -258.0; and epsilon = 0.8106666666666666, win percentage = 0.0, 2023-04-20 15:06:55
Episode no = 1430; won: False; Q(s,a) = 97.08274499829231; reward = -384.0; and epsilon = 0.8093333333333333, win percentage = 0.0, 2023-04-20 15:07:02
Episode no = 1440; won: False; Q(s,a) = 101.65081621792065; reward = -362.0; and epsilon = 0.808, win percentage = 0.0, 2023-04-20 15:07:09
Episode no = 1450; won: False; Q(s,a) = 89.01214631136465; reward = -482.0; and epsilon = 0.8066666666666666, win percentage = 0.0, 2023-04-20 15:07:12
Episode no = 1460; won: False; Q(s,a) = 101.9715458029038; reward = -443.0; and epsilon = 0.8053333333333333, win percentage = 0.0, 2023-04-20 15:07:19
Episode no = 1470; won: False; Q(s,a) = 99.54399889027364; reward = -368.0; and epsilon = 0.804, win percentage = 0.0, 2023-04-20 15:07:25
Episode no = 1480; won: False; Q(s,a) = 98.27701780029778; reward = -309.0; and epsilon = 0.8026666666666666, win percentage = 0.0, 2023-04-20 15:07:35
Episode no = 1490; won: False; Q(s,a) = 92.79937170944467; reward = -465.0; and epsilon = 0.8013333333333333, win percentage = 0.0, 2023-04-20 15:07:40
Episode no = 1500; won: False; Q(s,a) = 99.4078145206373; reward = -213.0; and epsilon = 0.8, win percentage = 0.0, 2023-04-20 15:07:45
Episode no = 1510; won: False; Q(s,a) = 103.00321954741901; reward = -458.0; and epsilon = 0.7986666666666666, win percentage = 0.0, 2023-04-20 15:07:52
Episode no = 1520; won: False; Q(s,a) = 101.62801182138591; reward = -427.0; and epsilon = 0.7973333333333333, win percentage = 0.0, 2023-04-20 15:07:57
Episode no = 1530; won: False; Q(s,a) = 103.38427331610231; reward = -242.0; and epsilon = 0.796, win percentage = 0.0, 2023-04-20 15:08:04
Episode no = 1540; won: False; Q(s,a) = 101.31762393558577; reward = -471.0; and epsilon = 0.7946666666666666, win percentage = 0.0, 2023-04-20 15:08:10
Episode no = 1550; won: False; Q(s,a) = 101.6416015141708; reward = -359.0; and epsilon = 0.7933333333333333, win percentage = 0.0, 2023-04-20 15:08:16
Episode no = 1560; won: False; Q(s,a) = 102.51595662991127; reward = -402.0; and epsilon = 0.792, win percentage = 0.0, 2023-04-20 15:08:21
